Order_ID,Customer_Name,Order_Date,Region,Category,Quantity,Unit_Price,Sales_Amount,Cost_Amount,Profit_Amount,Payment_Method
O1283,Meagan Cox,2025-12-10,North,Fashion,5,4700,23500,18383.85,5116.15,UPI
O1284,Robert Willis,2025-11-27,West,Electronics,4,4842,19368,12847.54,6520.46,Debit Card
O1285,Daniel Reese,2026-03-21,West,Home & Kitchen,1,3045,3045,1610.69,1434.31,Debit Card
O1286,Maria Collins,2025-11-08,South,Home & Kitchen,1,1949,1949,1538.78,410.22,Debit Card
O1287,Tracy Day,2025-12-20,South,Electronics,2,3384,6768,4929.27,1838.73,COD
O1288,Alisha Gaines,2026-03-31,East,Home & Kitchen,4,3688,14752,11730.93,3021.07,Debit Card
O1289,Kimberly Evans,2026-01-25,West,Home & Kitchen,3,666,1998,1008.46,989.54,COD
O1290,Jose Daniel,2025-10-11,West,Books,2,3641,7282,5318.99,1963.01,Credit Card
O1291,Michael Johnson,2025-06-29,North,Home & Kitchen,1,4617,4617,2364.82,2252.18,COD
O1292,Anna Lambert,2025-11-01,South,Electronics,4,3842,15368,8879.12,6488.88,Debit Card
O1293,James Long,2025-10-02,West,Books,2,1441,2882,2143.42,738.58,Debit Card
O1294,Mikayla Lloyd,2026-01-29,East,Books,5,776,3880,2922.38,957.62,UPI
O1295,Carmen Rollins,2026-03-15,South,Fashion,4,2593,10372,7576.77,2795.23,Debit Card
O1296,Shane Leach,2025-12-28,South,Home & Kitchen,4,3724,14896,11038.01,3857.99,COD
O1297,Debra Wilson,2025-08-15,North,Fashion,4,2874,11496,7265.95,4230.05,COD
O1298,Robin Davis DDS,2026-06-04,North,Home & Kitchen,2,1879,3758,2240.99,1517.01,Debit Card
O1299,Jimmy Hester,2025-10-09,East,Electronics,2,1863,3726,2107.62,1618.38,UPI
O1300,Jacob Brown,2025-11-24,East,Home & Kitchen,3,1716,5148,3763.25,1384.75,Debit Card
